comparison_id	left_gene_set	right_gene_set	gene_symbol	status
schema_2022_exomewide_10__vs__schema_phase2_2026-08-21_bonferroni	schema_2022_exomewide_10	schema_phase2_2026-08-21_bonferroni	ATP1A1	gained
schema_2022_exomewide_10__vs__schema_phase2_2026-08-21_bonferroni	schema_2022_exomewide_10	schema_phase2_2026-08-21_bonferroni	ATP9A	gained
schema_2022_exomewide_10__vs__schema_phase2_2026-08-21_bonferroni	schema_2022_exomewide_10	schema_phase2_2026-08-21_bonferroni	CACNA1G	lost
schema_2022_exomewide_10__vs__schema_phase2_2026-08-21_bonferroni	schema_2022_exomewide_10	schema_phase2_2026-08-21_bonferroni	CHRM4	gained
schema_2022_exomewide_10__vs__schema_phase2_2026-08-21_bonferroni	schema_2022_exomewide_10	schema_phase2_2026-08-21_bonferroni	CUL1	shared
schema_2022_exomewide_10__vs__schema_phase2_2026-08-21_bonferroni	schema_2022_exomewide_10	schema_phase2_2026-08-21_bonferroni	FYN	gained
schema_2022_exomewide_10__vs__schema_phase2_2026-08-21_bonferroni	schema_2022_exomewide_10	schema_phase2_2026-08-21_bonferroni	GRIA3	lost
schema_2022_exomewide_10__vs__schema_phase2_2026-08-21_bonferroni	schema_2022_exomewide_10	schema_phase2_2026-08-21_bonferroni	GRIN2A	lost
schema_2022_exomewide_10__vs__schema_phase2_2026-08-21_bonferroni	schema_2022_exomewide_10	schema_phase2_2026-08-21_bonferroni	HDAC9	gained
schema_2022_exomewide_10__vs__schema_phase2_2026-08-21_bonferroni	schema_2022_exomewide_10	schema_phase2_2026-08-21_bonferroni	HERC1	shared
schema_2022_exomewide_10__vs__schema_phase2_2026-08-21_bonferroni	schema_2022_exomewide_10	schema_phase2_2026-08-21_bonferroni	JARID2	gained
schema_2022_exomewide_10__vs__schema_phase2_2026-08-21_bonferroni	schema_2022_exomewide_10	schema_phase2_2026-08-21_bonferroni	PPP3CA	gained
schema_2022_exomewide_10__vs__schema_phase2_2026-08-21_bonferroni	schema_2022_exomewide_10	schema_phase2_2026-08-21_bonferroni	PTK2	gained
schema_2022_exomewide_10__vs__schema_phase2_2026-08-21_bonferroni	schema_2022_exomewide_10	schema_phase2_2026-08-21_bonferroni	RB1CC1	shared
schema_2022_exomewide_10__vs__schema_phase2_2026-08-21_bonferroni	schema_2022_exomewide_10	schema_phase2_2026-08-21_bonferroni	SCAF1	gained
schema_2022_exomewide_10__vs__schema_phase2_2026-08-21_bonferroni	schema_2022_exomewide_10	schema_phase2_2026-08-21_bonferroni	SCN2A	gained
schema_2022_exomewide_10__vs__schema_phase2_2026-08-21_bonferroni	schema_2022_exomewide_10	schema_phase2_2026-08-21_bonferroni	SETD1A	shared
schema_2022_exomewide_10__vs__schema_phase2_2026-08-21_bonferroni	schema_2022_exomewide_10	schema_phase2_2026-08-21_bonferroni	SP4	shared
schema_2022_exomewide_10__vs__schema_phase2_2026-08-21_bonferroni	schema_2022_exomewide_10	schema_phase2_2026-08-21_bonferroni	STAG1	gained
schema_2022_exomewide_10__vs__schema_phase2_2026-08-21_bonferroni	schema_2022_exomewide_10	schema_phase2_2026-08-21_bonferroni	TRIO	shared
schema_2022_exomewide_10__vs__schema_phase2_2026-08-21_bonferroni	schema_2022_exomewide_10	schema_phase2_2026-08-21_bonferroni	XPO7	shared
schema_2022_exomewide_10__vs__schema_phase2_2026-08-21_bonferroni	schema_2022_exomewide_10	schema_phase2_2026-08-21_bonferroni	ZMYM2	gained
schema_phase2_2026-04-23_bonferroni__vs__schema_phase2_2026-05-07_bonferroni	schema_phase2_2026-04-23_bonferroni	schema_phase2_2026-05-07_bonferroni	ATP1A1	shared
schema_phase2_2026-04-23_bonferroni__vs__schema_phase2_2026-05-07_bonferroni	schema_phase2_2026-04-23_bonferroni	schema_phase2_2026-05-07_bonferroni	ATP9A	shared
schema_phase2_2026-04-23_bonferroni__vs__schema_phase2_2026-05-07_bonferroni	schema_phase2_2026-04-23_bonferroni	schema_phase2_2026-05-07_bonferroni	CHRM4	shared
schema_phase2_2026-04-23_bonferroni__vs__schema_phase2_2026-05-07_bonferroni	schema_phase2_2026-04-23_bonferroni	schema_phase2_2026-05-07_bonferroni	CUL1	shared
schema_phase2_2026-04-23_bonferroni__vs__schema_phase2_2026-05-07_bonferroni	schema_phase2_2026-04-23_bonferroni	schema_phase2_2026-05-07_bonferroni	FYN	shared
schema_phase2_2026-04-23_bonferroni__vs__schema_phase2_2026-05-07_bonferroni	schema_phase2_2026-04-23_bonferroni	schema_phase2_2026-05-07_bonferroni	HDAC9	shared
schema_phase2_2026-04-23_bonferroni__vs__schema_phase2_2026-05-07_bonferroni	schema_phase2_2026-04-23_bonferroni	schema_phase2_2026-05-07_bonferroni	HERC1	shared
schema_phase2_2026-04-23_bonferroni__vs__schema_phase2_2026-05-07_bonferroni	schema_phase2_2026-04-23_bonferroni	schema_phase2_2026-05-07_bonferroni	JARID2	shared
schema_phase2_2026-04-23_bonferroni__vs__schema_phase2_2026-05-07_bonferroni	schema_phase2_2026-04-23_bonferroni	schema_phase2_2026-05-07_bonferroni	PPP3CA	shared
schema_phase2_2026-04-23_bonferroni__vs__schema_phase2_2026-05-07_bonferroni	schema_phase2_2026-04-23_bonferroni	schema_phase2_2026-05-07_bonferroni	PTK2	shared
schema_phase2_2026-04-23_bonferroni__vs__schema_phase2_2026-05-07_bonferroni	schema_phase2_2026-04-23_bonferroni	schema_phase2_2026-05-07_bonferroni	RB1CC1	shared
