gene_set_id,phenotype,gene_count,definition,source_id,source_title,source_release,source_url,source_retrieved_date,source_usage_note,catalog_release
bmi_exomewide_16,BMI,16,Sixteen exome-wide significant BMI burden genes,bmi_exome_2021,Exome-wide BMI burden associations,2021,https://pmc.ncbi.nlm.nih.gov/articles/PMC10275396/,2026-08-29,.,2026-08-29
bmi_exomewide_negative,BMI,6,Exome-wide BMI genes with negative beta,bmi_exome_2021,Exome-wide BMI burden associations,2021,https://pmc.ncbi.nlm.nih.gov/articles/PMC10275396/,2026-08-29,.,2026-08-29
bmi_exomewide_positive,BMI,10,Exome-wide BMI genes with positive beta,bmi_exome_2021,Exome-wide BMI burden associations,2021,https://pmc.ncbi.nlm.nih.gov/articles/PMC10275396/,2026-08-29,.,2026-08-29
epi25_dee_damaging_missense_bonferroni,Epilepsy,1,Epi25 DEE damaging_missense; Bonferroni,epi25_2022,Epi25 gene results,2022-12-01,https://epi25.broadinstitute.org/,2026-08-29,.,2026-08-29
epi25_dee_damaging_missense_fdr05,Epilepsy,3,Epi25 DEE damaging_missense; BH FDR <= 5%,epi25_2022,Epi25 gene results,2022-12-01,https://epi25.broadinstitute.org/,2026-08-29,.,2026-08-29
epi25_dee_ptv_bonferroni,Epilepsy,6,Epi25 DEE ptv; Bonferroni,epi25_2022,Epi25 gene results,2022-12-01,https://epi25.broadinstitute.org/,2026-08-29,.,2026-08-29
epi25_dee_ptv_fdr05,Epilepsy,11,Epi25 DEE ptv; BH FDR <= 5%,epi25_2022,Epi25 gene results,2022-12-01,https://epi25.broadinstitute.org/,2026-08-29,.,2026-08-29
epi25_epi_damaging_missense_bonferroni,Epilepsy,1,Epi25 EPI damaging_missense; Bonferroni,epi25_2022,Epi25 gene results,2022-12-01,https://epi25.broadinstitute.org/,2026-08-29,.,2026-08-29
epi25_epi_damaging_missense_fdr05,Epilepsy,1,Epi25 EPI damaging_missense; BH FDR <= 5%,epi25_2022,Epi25 gene results,2022-12-01,https://epi25.broadinstitute.org/,2026-08-29,.,2026-08-29
epi25_epi_ptv_bonferroni,Epilepsy,3,Epi25 EPI ptv; Bonferroni,epi25_2022,Epi25 gene results,2022-12-01,https://epi25.broadinstitute.org/,2026-08-29,.,2026-08-29
epi25_epi_ptv_fdr05,Epilepsy,4,Epi25 EPI ptv; BH FDR <= 5%,epi25_2022,Epi25 gene results,2022-12-01,https://epi25.broadinstitute.org/,2026-08-29,.,2026-08-29
epi25_gge_damaging_missense_bonferroni,Epilepsy,1,Epi25 GGE damaging_missense; Bonferroni,epi25_2022,Epi25 gene results,2022-12-01,https://epi25.broadinstitute.org/,2026-08-29,.,2026-08-29
epi25_gge_damaging_missense_fdr05,Epilepsy,1,Epi25 GGE damaging_missense; BH FDR <= 5%,epi25_2022,Epi25 gene results,2022-12-01,https://epi25.broadinstitute.org/,2026-08-29,.,2026-08-29
epi25_gge_ptv_fdr05,Epilepsy,3,Epi25 GGE ptv; BH FDR <= 5%,epi25_2022,Epi25 gene results,2022-12-01,https://epi25.broadinstitute.org/,2026-08-29,.,2026-08-29
epi25_nafe_ptv_bonferroni,Epilepsy,2,Epi25 NAFE ptv; Bonferroni,epi25_2022,Epi25 gene results,2022-12-01,https://epi25.broadinstitute.org/,2026-08-29,.,2026-08-29
epi25_nafe_ptv_fdr05,Epilepsy,2,Epi25 NAFE ptv; BH FDR <= 5%,epi25_2022,Epi25 gene results,2022-12-01,https://epi25.broadinstitute.org/,2026-08-29,.,2026-08-29
height_207_gene_p,Height,207,207 discovery-significant gene-P genes,kosmicki_height_2026,Kosmicki et al. height preprint supplement,2026-06-22,https://www.medrxiv.org/content/10.64898/2026.06.22.26355163v1,2026-08-29,.,2026-08-29
height_singleton_plof,Height,17,17 significant singleton-pLoF burden genes,kosmicki_height_2026,Kosmicki et al. height preprint supplement,2026-06-22,https://www.medrxiv.org/content/10.64898/2026.06.22.26355163v1,2026-08-29,.,2026-08-29
height_singleton_plof_negative,Height,11,Singleton-pLoF genes with negative beta,kosmicki_height_2026,Kosmicki et al. height preprint supplement,2026-06-22,https://www.medrxiv.org/content/10.64898/2026.06.22.26355163v1,2026-08-29,.,2026-08-29
