bmi_exomewide_16,bmi_exomewide_negative,bmi_exomewide_positive,epi25_dee_damaging_missense_bonferroni,epi25_dee_damaging_missense_fdr05,epi25_dee_ptv_bonferroni,epi25_dee_ptv_fdr05,epi25_epi_damaging_missense_bonferroni,epi25_epi_damaging_missense_fdr05,epi25_epi_ptv_bonferroni,epi25_epi_ptv_fdr05,epi25_gge_damaging_missense_bonferroni,epi25_gge_damaging_missense_fdr05,epi25_gge_ptv_fdr05,epi25_nafe_ptv_bonferroni,epi25_nafe_ptv_fdr05,height_207_gene_p,height_singleton_plof,height_singleton_plof_negative,height_singleton_plof_positive,legacy_ddg2p_all,legacy_ddg2p_confident,legacy_fu_asd185,legacy_fu_asd72,legacy_fu_dd309,legacy_fu_dd477,legacy_fu_ndd373,legacy_fu_ndd664,legacy_satterstrom102,legacy_schema_fdr05,legacy_schema_sig,legacy_sfari_all,legacy_sfari_hc,legacy_sfari_score1,legacy_sfari_score12,panelapp_epilepsy_all,panelapp_epilepsy_green,panelapp_intellectual_disability_all,panelapp_intellectual_disability_green,schema_2022_exomewide_10,schema_phase2_2026-04-23_bonferroni,schema_phase2_2026-04-23_fdr05,schema_phase2_2026-05-07_bonferroni,schema_phase2_2026-05-07_fdr05,schema_phase2_2026-05-26_bonferroni,schema_phase2_2026-05-26_fdr05,schema_phase2_2026-07-15_bonferroni,schema_phase2_2026-07-15_fdr05,schema_phase2_2026-08-07_bonferroni,schema_phase2_2026-08-07_fdr05,schema_phase2_2026-08-21_bonferroni,schema_phase2_2026-08-21_fdr05,sfari_all_scored,sfari_score_1,sfari_score_2,sfari_score_3,sfari_syndromic
ANKRD27,DPP9,ANKRD27,KDM4B,CLCN4,ANKRD11,ANKRD11,GABRB3,GABRB3,DEPDC5,DEPDC5,SLC6A1,SLC6A1,MRPL18,DEPDC5,DEPDC5,ABCB1,ACAN,ACAN,CHD8,AAAS,AAAS,ACLY,ADNP,ABCC9,ABCC9,ABCC9,ABCC9,ADNP,BSCL2,CACNA1G,ABAT,ABCA10,ABCE1,ABAT,AARS,AARS,A2ML1,AAAS,CACNA1G,ATP1A1,ADAM23,ATP1A1,ADAM23,ATP1A1,ADAM23,ATP1A1,ADAM23,ATP1A1,ADAM23,ATP1A1,ADAM23,ABAT,ABCE1,ABAT,ABCA2,ACTB
ANO4,GIPR,ANO4,,KDM4B,NEXMIF,CARS2,,,NEXMIF,NEXMIF,,,RYR2,NPRL3,NPRL3,AC004922.1,ADAMTS10,ADAMTS10,FBN1,AARS1,AARS1,ACVR2A,ANK2,ABL1,ABCF1,ABL1,ABL1,ANK2,CACNA1G,CUL1,ABCA10,ABCA7,ACTB,ABCA10,AARS2,AASS,AAAS,AARS,CUL1,ATP9A,ADGRL1,ATP9A,ADGRL1,ATP9A,ADGRL1,ATP9A,ADGRL1,ATP9A,ADGRL1,ATP9A,ADGRL1,ABCA10,ACTB,ABCA10,ABL2,ACTL6B
CALCR,GPR151,CALCR,,SCN1A,SCN1A,IQSEC2,,,SCN1A,NPRL3,,,SETD1B,,,AC073896.1,ADAMTS6,ADAMTS6,LCORL,AASS,AASS,ADCY5,ANKRD11,ACTL6B,ABL1,ACTL6B,ACLY,ANKRD11,CGREF1,GRIA3,ABCA13,ABCE1,ADNP,ABCA13,AASS,ABAT,AARS,AASS,GRIA3,CHRM4,AKAP11,CHRM4,AKAP11,CHRM4,AKAP11,CHRM4,AKAP11,CHRM4,AKAP11,CHRM4,AKAP11,ABCA13,ADNP,ABCA13,ADCY1,ACY1
DPP9,GPR75,KIAA1109,,,STX1B,MECP2,,,,SCN1A,,,,,,AC127029.3,ANKRD11,ANKRD11,NRK,ABAT,ABAT,ADNP,AP2S1,ADCY5,ACTA2,ACVR2A,ACTA2,AP2S1,CUL1,GRIN2A,ABCA2,ACHE,ADSL,ABCA7,ABAT,ACOX1,AASS,ABAT,GRIN2A,CUL1,ANKRD11,CUL1,ANKRD11,CUL1,ANKRD11,CUL1,ANKRD11,CUL1,ANKRD11,CUL1,ANKRD11,ABCA2,ADSL,ABCA7,ADGRB1,ADGRL1
GIPR,KIAA0586,MC4R,,,SYNGAP1,NEXMIF,,,,,,,,,,ACAN,CHD8,COL1A1,TET1,ABCA2,ABCB11,AGO4,ARID1B,ADNP,ACTL6B,ADCY5,ACTL6B,ARID1B,GRIA3,HERC1,ABCA7,ACTN4,AFF2,ABCE1,ABCA2,ACTL6B,ABAT,ABCA2,HERC1,FYN,ATP1A1,FYN,ATP1A1,FYN,ATP1A1,FYN,ATP1A1,FYN,ATP1A1,FYN,ATP1A1,ABCA7,AFF2,ACAP2,ADGRL1,ADNP
GPR151,UHMK1,PCSK1,,,WDR45,PCDH19,,,,,,,,,,ADAMTS10,COL1A1,DTL,ZFAT,ABCB11,ABCC9,AHDC1,ASH1L,AFF3,ACTR1A,ADNP,ACVR2A,ASH1L,GRIN2A,RB1CC1,ABCE1,ADCY3,AHDC1,ACAP2,ABI2,ADAR,ABCA2,ABCC9,RB1CC1,HDAC9,ATP9A,HDAC9,ATP9A,HDAC9,ATP9A,HDAC9,ATP9A,HDAC9,ATP9A,HDAC9,ATP9A,ABCE1,AHDC1,ACE,AGAP5,ADSL
GPR75,,PDE3B,,,,SCN1A,,,,,,,,,,ADAMTS17,DTL,EXT1,,ABCB6,ABCD1,ANK2,ASXL3,AGO1,ADCY5,AFF3,ADCY5,ASXL3,HERC1,SETD1A,ABL2,ADCY5,ALDH5A1,ACE,ACOX1,ADARB1,ABCB11,ABCD1,SETD1A,HERC1,BTRC,HERC1,BTRC,HERC1,BTRC,HERC1,BTRC,HERC1,BTRC,HERC1,BTRC,ABL2,ALDH5A1,ACHE,ALDH1L1,AGO2
KIAA0586,,ROBO1,,,,STX1B,,,,,,,,,,ADAMTS3,EXT1,IGF1R,,ABCB7,ABHD5,ANKH,ATP2B2,AHDC1,ADNP,AGO1,ADNP,BCL11A,KLC1,SP4,ACAP2,ADK,ANK2,ACHE,ACTL6B,ADGRG1,ABCB7,ABCD4,SP4,JARID2,CACNA1B,JARID2,CACNA1B,JARID2,CACNA1B,JARID2,CACNA1B,JARID2,CACNA1B,JARID2,CACNA1B,ACAP2,ANK2,ACTN4,ARHGAP30,AHDC1
KIAA1109,,SPARC,,,,STXBP1,,,,,,,,,,ADAMTS6,FBN1,IGF2BP2,,ABCC6,ABL1,ANKRD11,AUTS2,ANKRD11,AFF3,AHDC1,AFF3,CACNA1E,PCLO,TRIO,ACE,ADORA2A,ANK3,ACTB,ADAM22,ADPRHL2,ABCC6,ABHD16A,TRIO,PPP3CA,CAMK2A,PPP3CA,CAMK2A,PPP3CA,CAMK2A,PPP3CA,CAMK2A,PPP3CA,CAMK2A,PPP3CA,CAMK2A,ACE,ANK3,ADA,ARHGEF2,AHI1
MC4R,,UBR2,,,,SYNGAP1,,,,,,,,,,ADAMTSL2,IGF1R,NF1,,ABCC9,ACAD9,AP2S1,BRSK2,AP2S1,AGO1,ANK2,AGO1,CACNA2D3,RB1CC1,XPO7,ACHE,ADSS2,ANKRD11,ACTN4,ADAR,ADSL,ABCC8,ABHD5,XPO7,PTK2,CHRM4,PTK2,CHRM4,PTK2,CHRM4,PTK2,CHRM4,PTK2,CHRM4,PTK2,CHRM4,ACHE,ANKRD11,ADCY3,ARID1A,ALDH1A3
