variable	role	data_type	nullable	default_analysis_use	source	description
FID	identifier	string	true	family/cluster identifier	pedigree or cohort sample manifest	Family identifier used for relatedness-aware models and clustered standard errors; never infer it from IID text. Required when a validated pedigree mapping is available.
IID	identifier	string	false	participant join key	PGS analysis_dataset.tsv IID; rare-variant SAMPLE/sample_id	Participant/sample identifier; unique within the G2MH analysis dataset.
SEX	covariate	categorical	true	sex covariate and stratification	validated cohort phenotype/sample manifest	Validated analysis sex category. Keep its coding and source explicit; do not derive it from IID or silently substitute inferred karyotype.
ANCESTRY	covariate	categorical	false	stratification and model covariate	PGS analysis_dataset.tsv	Assigned global ancestry or uncertain label.
GLOBAL_PC1	covariate	float	false	global ancestry covariate	PGS analysis_dataset.tsv	PC1 projected from the fixed 1000 Genomes reference.
GLOBAL_PC2	covariate	float	false	global ancestry covariate	PGS analysis_dataset.tsv	PC2 projected from the fixed 1000 Genomes reference.
GLOBAL_PC3	covariate	float	false	global ancestry covariate	PGS analysis_dataset.tsv	PC3 projected from the fixed 1000 Genomes reference.
GLOBAL_PC4	covariate	float	false	global ancestry covariate	PGS analysis_dataset.tsv	PC4 projected from the fixed 1000 Genomes reference.
GLOBAL_PC5	covariate	float	false	global ancestry covariate	PGS analysis_dataset.tsv	PC5 projected from the fixed 1000 Genomes reference.
GLOBAL_PC6	covariate	float	false	global ancestry covariate	PGS analysis_dataset.tsv	PC6 projected from the fixed 1000 Genomes reference.
GLOBAL_PC7	covariate	float	false	global ancestry covariate	PGS analysis_dataset.tsv	PC7 projected from the fixed 1000 Genomes reference.
GLOBAL_PC8	covariate	float	false	global ancestry covariate	PGS analysis_dataset.tsv	PC8 projected from the fixed 1000 Genomes reference.
GLOBAL_PC9	covariate	float	false	global ancestry covariate	PGS analysis_dataset.tsv	PC9 projected from the fixed 1000 Genomes reference.
GLOBAL_PC10	covariate	float	false	global ancestry covariate	PGS analysis_dataset.tsv	PC10 projected from the fixed 1000 Genomes reference.
WITHIN_PC1	covariate	float	true	within-ancestry covariate	PGS analysis_dataset.tsv	Within-ancestry PC1; comparable only within assigned ancestry and unavailable for some groups.
WITHIN_PC2	covariate	float	true	within-ancestry covariate	PGS analysis_dataset.tsv	Within-ancestry PC2; comparable only within assigned ancestry and unavailable for some groups.
WITHIN_PC3	covariate	float	true	within-ancestry covariate	PGS analysis_dataset.tsv	Within-ancestry PC3; comparable only within assigned ancestry and unavailable for some groups.
WITHIN_PC4	covariate	float	true	within-ancestry covariate	PGS analysis_dataset.tsv	Within-ancestry PC4; comparable only within assigned ancestry and unavailable for some groups.
WITHIN_PC5	covariate	float	true	within-ancestry covariate	PGS analysis_dataset.tsv	Within-ancestry PC5; comparable only within assigned ancestry and unavailable for some groups.
