chromosome	job_id	run_root
chr1	8d4d3ce3-9807-47d6-a178-fee7f7bc6aad	/fsx/loftee-parity/workflows/g2mh/all-observed-v1-corrected/chr1
chr2	2d6ab905-89ba-40ba-a713-db3afc2d162b	/fsx/loftee-parity/workflows/g2mh/all-observed-v1-corrected/chr2
chr3	3fb5f7ff-1615-49f9-84e1-85b175c1115e	/fsx/loftee-parity/workflows/g2mh/all-observed-v1-corrected/chr3
chr4	359c4f29-b408-4327-8491-d7461cacd199	/fsx/loftee-parity/workflows/g2mh/all-observed-v1-corrected/chr4
chr5	0cb4f12b-a6a1-4370-a4a4-83147c76b35a	/fsx/loftee-parity/workflows/g2mh/all-observed-v1-corrected/chr5
chr6	c36c6917-6df3-49b3-93eb-4c0cea6fe152	/fsx/loftee-parity/workflows/g2mh/all-observed-v1-corrected/chr6
chr7	1de0a85a-b4c7-446d-96f6-1513ab8d3da1	/fsx/loftee-parity/workflows/g2mh/all-observed-v1-corrected/chr7
chr8	c9e82810-635e-4caa-a285-9bfc87a1089b	/fsx/loftee-parity/workflows/g2mh/all-observed-v1-corrected/chr8
chr9	2a5f68d8-f676-4b4f-a017-bb37fcde81b7	/fsx/loftee-parity/workflows/g2mh/all-observed-v1-corrected/chr9
chr10	a82b6584-d614-4117-b52c-eb5b4264d850	/fsx/loftee-parity/workflows/g2mh/all-observed-v1-corrected/chr10
chr11	3f73eb65-0c88-46d4-8e21-e4ab24bf3bae	/fsx/loftee-parity/workflows/g2mh/all-observed-v1-corrected/chr11
chr12	1ec70ca3-b361-41ae-804d-2cfd90fa67f6	/fsx/loftee-parity/workflows/g2mh/all-observed-v1-corrected/chr12
chr13	d40e36b5-2041-4a66-9a08-d768565ea5fa	/fsx/loftee-parity/workflows/g2mh/all-observed-v1-corrected/chr13
chr14	3d1ea69e-af7c-4eaf-8331-a68a2c1cf63a	/fsx/loftee-parity/workflows/g2mh/all-observed-v1-corrected/chr14
chr15	004f6a54-b0a3-4ddc-a8bd-b666053e43f2	/fsx/loftee-parity/workflows/g2mh/all-observed-v1-corrected/chr15
chr16	292a94c6-443f-4f0a-9bf1-f628d9a2dac0	/fsx/loftee-parity/workflows/g2mh/all-observed-v1-corrected/chr16
chr17	dd6fa36b-0b65-425d-9f32-f34304a88815	/fsx/loftee-parity/workflows/g2mh/all-observed-v1-corrected/chr17
chr18	97360512-abac-44f4-93b1-ae44097e9c90	/fsx/loftee-parity/workflows/g2mh/all-observed-v1-corrected/chr18
chr19	7dde8be4-9855-45fb-b7da-51982a8460b5	/fsx/loftee-parity/workflows/g2mh/all-observed-v1-corrected/chr19
chr20	7062e402-d16d-414f-9012-33f4c1ca5288	/fsx/loftee-parity/workflows/g2mh/all-observed-v1-corrected/chr20
chr21	3a37efda-3c16-42dc-8d22-fb42c626dd63	/fsx/loftee-parity/workflows/g2mh/all-observed-v1-corrected/chr21
chr22	05a90d8c-2b00-4b0d-a0e5-f0ce20cef649	/fsx/loftee-parity/workflows/g2mh/all-observed-v1-corrected/chr22
chrX	d4e03104-9d48-4115-95e3-5983baa4b6b5	/fsx/loftee-parity/workflows/g2mh/all-observed-v1-corrected/chrX
chrY	df04817b-f2cd-4ccf-9995-aa21cd89c786	/fsx/loftee-parity/workflows/g2mh/all-observed-v1-corrected/chrY
