gene_set_id	phenotype	definition	gene_symbol	ensembl_gene_id	evidence	effect_direction	effect_beta	p_value	source_id	notes
bmi_exomewide_16	BMI	Sixteen exome-wide significant BMI burden genes	ANKRD27	.	exome-wide	positive	0.04	5.9 × 10 −9	bmi_exome_2021	pLOF plus missense ( 1/5); AAF < 1 %
bmi_exomewide_16	BMI	Sixteen exome-wide significant BMI burden genes	ANO4	.	exome-wide	positive	0.29	1.1 × 10 −9	bmi_exome_2021	pLOF; AAF < 1%
bmi_exomewide_16	BMI	Sixteen exome-wide significant BMI burden genes	CALCR	.	exome-wide	positive	0.09	1.4 × 10 −13	bmi_exome_2021	pLOF plus missense (1/5); AAF < 0.1%
bmi_exomewide_16	BMI	Sixteen exome-wide significant BMI burden genes	DPP9	.	exome-wide	negative	-0.06	2.0 × 10 −8	bmi_exome_2021	pLOF plus missense (5/5); AAF < 1%
bmi_exomewide_16	BMI	Sixteen exome-wide significant BMI burden genes	GIPR	.	exome-wide	negative	-0.09	9.3 × 10 −19	bmi_exome_2021	pLOF plus missense (1/5); AAF <1%
bmi_exomewide_16	BMI	Sixteen exome-wide significant BMI burden genes	GPR151	.	exome-wide	negative	-0.05	5.7 × 10 −9	bmi_exome_2021	pLOF plus missense (5/5); AAF < 1%
bmi_exomewide_16	BMI	Sixteen exome-wide significant BMI burden genes	GPR75	.	exome-wide	negative	-0.34	2.6 × 10 −8	bmi_exome_2021	pLOF; AAF < 1%
bmi_exomewide_16	BMI	Sixteen exome-wide significant BMI burden genes	KIAA0586	.	exome-wide	negative	-0.04	3.1 × 10 −7	bmi_exome_2021	pLOF plus missense (5/5); AAF < 1%
bmi_exomewide_16	BMI	Sixteen exome-wide significant BMI burden genes	KIAA1109	.	exome-wide	positive	0.13	5.1 × 10 −8	bmi_exome_2021	pLOF; AAF < 1%
bmi_exomewide_16	BMI	Sixteen exome-wide significant BMI burden genes	MC4R	.	exome-wide	positive	0.3	4.0 × 10 −48	bmi_exome_2021	pLOF plus missense (5/5); AAF < 1%
bmi_exomewide_16	BMI	Sixteen exome-wide significant BMI burden genes	PCSK1	.	exome-wide	positive	0.33	1.0 × 10 −8	bmi_exome_2021	pLOF; AAF < 1%
bmi_exomewide_16	BMI	Sixteen exome-wide significant BMI burden genes	PDE3B	.	exome-wide	positive	0.12	1.7 × 10 −7	bmi_exome_2021	pLOF; AAF < 1%
bmi_exomewide_16	BMI	Sixteen exome-wide significant BMI burden genes	ROBO1	.	exome-wide	positive	0.24	5.6 × 10 −8	bmi_exome_2021	pLOF; AAF < 1%
bmi_exomewide_16	BMI	Sixteen exome-wide significant BMI burden genes	SPARC	.	exome-wide	positive	0.05	1.2 × 10 −10	bmi_exome_2021	pLOF plus missense ( 1/5); AAF < 1 %
bmi_exomewide_16	BMI	Sixteen exome-wide significant BMI burden genes	UBR2	.	exome-wide	positive	0.34	2.4 × 10 −9	bmi_exome_2021	pLOF; AAF < 1%
bmi_exomewide_16	BMI	Sixteen exome-wide significant BMI burden genes	UHMK1	.	exome-wide	negative	-0.06	4.9 × 10 −8	bmi_exome_2021	pLOF plus missense (5/5); AAF < 1%
bmi_exomewide_negative	BMI	Exome-wide BMI genes with negative beta	DPP9	.	exome-wide	negative	-0.06	2.0 × 10 −8	bmi_exome_2021	pLOF plus missense (5/5); AAF < 1%
bmi_exomewide_negative	BMI	Exome-wide BMI genes with negative beta	GIPR	.	exome-wide	negative	-0.09	9.3 × 10 −19	bmi_exome_2021	pLOF plus missense (1/5); AAF <1%
bmi_exomewide_negative	BMI	Exome-wide BMI genes with negative beta	GPR151	.	exome-wide	negative	-0.05	5.7 × 10 −9	bmi_exome_2021	pLOF plus missense (5/5); AAF < 1%
bmi_exomewide_negative	BMI	Exome-wide BMI genes with negative beta	GPR75	.	exome-wide	negative	-0.34	2.6 × 10 −8	bmi_exome_2021	pLOF; AAF < 1%
bmi_exomewide_negative	BMI	Exome-wide BMI genes with negative beta	KIAA0586	.	exome-wide	negative	-0.04	3.1 × 10 −7	bmi_exome_2021	pLOF plus missense (5/5); AAF < 1%
bmi_exomewide_negative	BMI	Exome-wide BMI genes with negative beta	UHMK1	.	exome-wide	negative	-0.06	4.9 × 10 −8	bmi_exome_2021	pLOF plus missense (5/5); AAF < 1%
bmi_exomewide_positive	BMI	Exome-wide BMI genes with positive beta	ANKRD27	.	exome-wide	positive	0.04	5.9 × 10 −9	bmi_exome_2021	pLOF plus missense ( 1/5); AAF < 1 %
bmi_exomewide_positive	BMI	Exome-wide BMI genes with positive beta	ANO4	.	exome-wide	positive	0.29	1.1 × 10 −9	bmi_exome_2021	pLOF; AAF < 1%
bmi_exomewide_positive	BMI	Exome-wide BMI genes with positive beta	CALCR	.	exome-wide	positive	0.09	1.4 × 10 −13	bmi_exome_2021	pLOF plus missense (1/5); AAF < 0.1%
bmi_exomewide_positive	BMI	Exome-wide BMI genes with positive beta	KIAA1109	.	exome-wide	positive	0.13	5.1 × 10 −8	bmi_exome_2021	pLOF; AAF < 1%
bmi_exomewide_positive	BMI	Exome-wide BMI genes with positive beta	MC4R	.	exome-wide	positive	0.3	4.0 × 10 −48	bmi_exome_2021	pLOF plus missense (5/5); AAF < 1%
bmi_exomewide_positive	BMI	Exome-wide BMI genes with positive beta	PCSK1	.	exome-wide	positive	0.33	1.0 × 10 −8	bmi_exome_2021	pLOF; AAF < 1%
bmi_exomewide_positive	BMI	Exome-wide BMI genes with positive beta	PDE3B	.	exome-wide	positive	0.12	1.7 × 10 −7	bmi_exome_2021	pLOF; AAF < 1%
bmi_exomewide_positive	BMI	Exome-wide BMI genes with positive beta	ROBO1	.	exome-wide	positive	0.24	5.6 × 10 −8	bmi_exome_2021	pLOF; AAF < 1%
bmi_exomewide_positive	BMI	Exome-wide BMI genes with positive beta	SPARC	.	exome-wide	positive	0.05	1.2 × 10 −10	bmi_exome_2021	pLOF plus missense ( 1/5); AAF < 1 %
bmi_exomewide_positive	BMI	Exome-wide BMI genes with positive beta	UBR2	.	exome-wide	positive	0.34	2.4 × 10 −9	bmi_exome_2021	pLOF; AAF < 1%
epi25_dee_damaging_missense_bonferroni	Epilepsy	Epi25 DEE damaging_missense; Bonferroni	KDM4B	ENSG00000127663	Bonferroni	.	.	6.6397e-06	epi25_2022	.
epi25_dee_damaging_missense_fdr05	Epilepsy	Epi25 DEE damaging_missense; BH FDR <= 5%	CLCN4	ENSG00000073464	FDR<=0.05	.	.	1.8207e-05	epi25_2022	.
epi25_dee_damaging_missense_fdr05	Epilepsy	Epi25 DEE damaging_missense; BH FDR <= 5%	KDM4B	ENSG00000127663	FDR<=0.05	.	.	6.6397e-06	epi25_2022	.
