chromosome	job_id	run_root
chr1	31c34ee3-01c5-4634-aa37-ec0ce520d9e7	/fsx/loftee-parity/workflows/g2mh/all-observed-v1/chr1
chr2	98063f21-3c9a-4319-a491-41502d28699c	/fsx/loftee-parity/workflows/g2mh/all-observed-v1/chr2
chr3	c0dda454-89b4-499e-b5df-c1167f876a34	/fsx/loftee-parity/workflows/g2mh/all-observed-v1/chr3
chr4	823de0a0-b64b-44da-a2aa-040dbb88f1a6	/fsx/loftee-parity/workflows/g2mh/all-observed-v1/chr4
chr5	75ee1850-c9e0-4e33-9531-5a3aa8097fa6	/fsx/loftee-parity/workflows/g2mh/all-observed-v1/chr5
chr6	1ee289ba-6496-4f7e-84ca-29da247e358a	/fsx/loftee-parity/workflows/g2mh/all-observed-v1/chr6
chr7	2620417a-401d-43ef-b454-2aed9176f696	/fsx/loftee-parity/workflows/g2mh/all-observed-v1/chr7
chr8	ee85dc6b-77c3-4739-9dd3-40f874adae86	/fsx/loftee-parity/workflows/g2mh/all-observed-v1/chr8
chr9	a830290a-d450-4960-a827-66cee310f6fd	/fsx/loftee-parity/workflows/g2mh/all-observed-v1/chr9
chr10	c7cfe763-95dc-4d28-8e5b-b932410b829a	/fsx/loftee-parity/workflows/g2mh/all-observed-v1/chr10
chr11	cb3eab6c-c2c9-4d5d-920d-b97ff2be131e	/fsx/loftee-parity/workflows/g2mh/all-observed-v1/chr11
chr12	4dba23de-b487-49a0-bc49-e27b90802a27	/fsx/loftee-parity/workflows/g2mh/all-observed-v1/chr12
chr13	0f0ee6a2-065b-4340-b352-5b23aa7d11c6	/fsx/loftee-parity/workflows/g2mh/all-observed-v1/chr13
chr14	91636fbe-eba4-456f-926e-777f74e8b1d5	/fsx/loftee-parity/workflows/g2mh/all-observed-v1/chr14
chr15	a443bd17-7b29-4a31-9b68-8a922f081ce1	/fsx/loftee-parity/workflows/g2mh/all-observed-v1/chr15
chr16	04a69def-0774-4fea-b63e-9365339279b7	/fsx/loftee-parity/workflows/g2mh/all-observed-v1/chr16
chr17	4048aadf-0437-47c8-a670-896ae86d942f	/fsx/loftee-parity/workflows/g2mh/all-observed-v1/chr17
chr18	1f1f5fa4-85b6-4d1e-8076-3b478c369249	/fsx/loftee-parity/workflows/g2mh/all-observed-v1/chr18
chr19	d1246a61-38ad-4727-9aa6-d488ef81e7ca	/fsx/loftee-parity/workflows/g2mh/all-observed-v1/chr19
chr20	80d7883e-02a3-4d0e-b448-b7a3820123a6	/fsx/loftee-parity/workflows/g2mh/all-observed-v1/chr20
chr21	f4158266-c8d6-4f6c-a56e-bdcba9c33bf5	/fsx/loftee-parity/workflows/g2mh/all-observed-v1/chr21
chr22	3903610f-9871-40f2-a3a2-ae0236b6e0f8	/fsx/loftee-parity/workflows/g2mh/all-observed-v1/chr22
chrX	3a4328e9-c485-415d-a1cc-a76f0051b898	/fsx/loftee-parity/workflows/g2mh/all-observed-v1/chrX
chrY	33394020-6f53-4a96-8287-916c47aaf72b	/fsx/loftee-parity/workflows/g2mh/all-observed-v1/chrY
